,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Adamantina,40,20,15,2,18,43,6,0,58,107,43,6,276
0,Adolfo,2,0,0,0,0,2,0,1,2,8,2,0,31
0,Aguaí,36,15,0,13,23,59,2,0,65,56,119,22,283
0,Águas da Prata,9,1,2,0,0,8,0,0,11,6,15,7,44
0,Águas de Lindóia,13,6,2,1,6,19,8,0,20,31,50,16,129
0,Águas de Santa Bárbara,2,1,0,1,5,6,0,0,7,3,9,0,49
0,Águas de São Pedro,4,0,0,1,2,6,0,0,8,1,7,2,18
0,Agudos,6,27,9,15,36,65,0,1,85,43,99,22,233
0,Alambari,1,0,0,1,3,9,1,0,10,3,9,9,36
0,Alfredo Marcondes,0,0,0,2,0,2,0,0,2,1,2,0,24
0,Altair,1,1,0,2,1,4,1,0,6,7,4,1,19
0,Altinópolis,13,18,0,5,14,35,4,0,51,69,35,11,85
0,Alto Alegre,2,0,0,0,7,5,0,0,6,4,9,0,36
0,Alumínio,8,8,0,1,6,20,2,0,27,13,34,7,70
0,Álvares Florence,0,0,0,1,1,2,0,0,2,2,2,0,49
0,Álvares Machado,18,1,4,18,12,13,2,0,20,29,14,13,102
0,Álvaro de Carvalho,3,4,18,2,2,7,1,0,15,2,13,0,60
0,Alvinlândia,0,0,0,0,1,1,1,0,3,1,1,0,16
0,Americana,158,133,2,34,95,387,120,6,510,75,284,233,1.187
0,Américo Brasiliense,33,5,0,5,8,23,39,2,30,51,23,17,146
0,Américo de Campos,1,0,0,1,3,1,0,3,1,8,1,0,54
0,Amparo,90,36,8,20,27,91,4,0,112,84,176,25,460
0,Analândia,8,1,0,0,2,1,0,0,5,2,3,6,27
0,Andradina,65,36,20,30,47,131,20,8,173,92,221,9,766
0,Angatuba,21,13,3,6,7,24,2,1,32,8,24,3,126
0,Anhembi,6,2,0,1,4,5,0,0,10,4,5,3,44
0,Anhumas,1,0,0,0,7,0,0,0,0,2,2,3,20
0,Aparecida,31,19,1,15,27,120,4,3,145,46,191,16,490
0,Aparecida d'Oeste,1,1,0,3,2,3,0,2,3,7,3,1,23
0,Apiaí,7,4,0,25,18,20,1,0,35,22,42,2,194
0,Araçariguama,8,6,1,6,16,22,1,0,27,13,32,20,67
0,Araçatuba,194,108,1,83,171,381,23,14,498,327,721,101,1.728
0,Araçoiaba da Serra,13,6,0,2,9,26,2,0,32,18,44,21,164
0,Aramina,1,1,0,1,4,7,0,0,11,5,7,1,34
0,Arandu,2,0,0,4,5,3,0,0,4,5,8,1,21
0,Arapeí,1,0,0,2,4,4,0,0,4,2,4,0,36
0,Araraquara,260,156,3,56,100,422,0,0,552,158,426,187,1.280
0,Araras,92,38,24,24,70,191,21,3,243,234,426,196,909
0,Arco-Íris,0,0,0,0,0,0,0,0,0,0,0,0,4
0,Arealva,1,0,1,2,4,4,0,0,4,4,8,5,29
0,Areias,1,1,0,0,0,4,0,0,10,1,4,1,22
0,Areiópolis,3,2,0,2,4,9,0,1,12,4,9,1,32
0,Ariranha,3,2,0,3,4,3,0,2,6,11,12,0,54
0,Artur Nogueira,41,26,0,5,26,67,0,0,92,20,88,48,276
0,Arujá,4,36,4,18,45,113,25,3,174,41,241,194,473
0,Aspásia,1,0,0,3,1,0,0,0,0,1,0,0,11
0,Assis,176,112,0,30,99,291,16,3,369,88,291,219,1.057
0,Atibaia,65,58,1,22,63,275,16,0,366,74,339,135,1.251
0,Auriflama,12,6,1,6,3,16,0,1,17,15,32,3,98
0,Avaí,2,2,0,2,5,4,0,0,9,5,7,3,29
0,Avaré,125,95,42,21,50,201,14,9,241,135,336,17,931
0,Bady Bassitt,5,6,0,0,3,16,0,0,24,10,17,12,63
0,Balbinos,29,1,8,1,1,2,0,0,2,1,2,0,53
