,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Adamantina,42,39,12,1,3,56,11,1,77,97,56,8,443
0,Adolfo,5,1,0,1,0,6,0,0,9,1,7,0,33
0,Aguaí,241,31,17,12,22,141,2,1,158,90,231,23,636
0,Águas da Prata,122,7,3,3,5,16,5,0,19,13,30,1,82
0,Águas de Lindóia,10,9,0,5,7,25,2,1,31,30,55,35,211
0,Águas de Santa Bárbara,2,4,1,1,1,10,0,0,11,6,16,5,51
0,Águas de São Pedro,3,1,0,0,0,7,0,0,10,2,8,1,36
0,Agudos,27,62,5,13,24,112,4,5,138,90,202,66,400
0,Alambari,3,1,0,1,3,10,0,0,10,1,10,3,59
0,Alfredo Marcondes,9,0,0,0,0,1,0,0,1,4,5,0,32
0,Altair,5,1,0,0,1,2,0,0,2,5,2,5,31
0,Altinópolis,29,19,2,3,5,17,8,0,19,20,37,15,189
0,Alto Alegre,4,0,2,0,1,2,0,0,3,3,6,0,41
0,Alumínio,7,12,0,3,7,37,5,0,39,14,53,17,156
0,Álvares Florence,4,1,0,2,7,8,0,0,8,3,8,0,59
0,Álvares Machado,38,21,3,6,27,46,4,1,58,36,90,26,252
0,Álvaro de Carvalho,15,8,20,0,1,8,0,0,10,15,25,0,73
0,Alvinlândia,1,1,0,0,0,3,0,0,3,4,7,0,32
0,Americana,89,187,0,34,74,367,136,17,533,157,634,282,2.016
0,Américo Brasiliense,77,24,0,6,7,55,8,8,61,46,107,20,261
0,Américo de Campos,6,1,0,10,3,14,2,0,18,5,15,0,73
0,Amparo,144,78,0,7,28,150,2,44,212,116,266,29,803
0,Analândia,5,3,0,0,10,4,0,0,4,8,12,1,46
0,Andradina,96,115,24,19,42,199,40,2,223,128,329,47,871
0,Angatuba,17,12,2,8,11,21,9,1,29,16,21,13,289
0,Anhembi,0,2,0,2,4,5,0,0,5,3,5,7,71
0,Anhumas,2,0,1,2,1,0,0,0,0,7,7,3,23
0,Aparecida,63,62,0,3,17,115,8,4,130,65,180,33,584
0,Aparecida d'Oeste,2,1,0,0,0,1,0,0,1,11,1,2,36
0,Apiaí,22,8,0,26,13,19,2,0,19,44,63,7,263
0,Araçariguama,13,10,0,5,10,43,1,0,62,19,81,52,279
0,Araçatuba,200,281,2,54,187,599,102,9,733,320,922,192,2.67
0,Araçoiaba da Serra,15,12,0,6,9,33,0,0,40,25,65,25,168
0,Aramina,9,1,0,0,1,2,3,0,2,6,8,4,74
0,Arandu,1,3,0,1,1,9,2,1,11,3,12,0,45
0,Arapeí,3,0,0,1,1,10,0,0,10,2,12,0,70
0,Araraquara,119,291,6,34,92,524,65,14,682,331,842,222,1.879
0,Araras,129,261,32,14,45,309,78,5,362,171,524,241,1.3
0,Arco-Íris,1,0,0,0,1,1,0,0,1,2,3,2,6
0,Arealva,7,0,1,2,6,9,1,2,11,16,26,3,68
0,Areias,2,0,0,0,4,6,0,0,6,0,6,0,25
0,Areiópolis,0,7,0,0,0,10,1,0,12,4,10,3,57
0,Ariranha,12,6,0,5,4,10,0,0,12,11,16,3,82
0,Artur Nogueira,97,31,0,8,15,72,8,3,81,44,123,53,399
0,Arujá,5,31,0,19,34,160,13,1,192,132,473,34,759
0,Aspásia,0,0,0,3,0,0,0,0,0,1,0,0,4
0,Assis,142,156,50,17,42,385,103,7,450,258,643,140,1.43
0,Atibaia,73,183,0,20,50,429,60,0,538,178,607,200,1.886
0,Auriflama,9,6,0,3,3,18,1,2,20,26,44,4,122
0,Avaí,8,6,0,4,4,10,1,0,14,11,21,3,34
0,Avanhandava,32,7,8,3,3,13,4,1,15,7,20,9,143
0,Avaré,128,92,24,14,30,291,14,20,322,207,510,19,976
0,Bady Bassitt,21,6,2,1,1,32,2,0,42,9,41,21,134
0,Balbinos,36,2,14,0,5,3,0,0,3,2,4,2,40
0,Bálsamo,5,6,0,3,2,10,3,0,12,14,24,5,75
