,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Adamantina,49,66,4,3,5,117,34,3,146,99,117,6,534
0,Adolfo,3,1,0,0,1,3,0,0,3,2,5,1,30
0,Aguaí,236,37,2,8,16,122,1,1,133,100,223,39,660
0,Águas da Prata,86,3,1,1,1,5,1,0,5,9,14,4,61
0,Águas de Lindóia,24,8,1,0,5,13,0,0,15,14,27,37,217
0,Águas de Santa Bárbara,3,3,0,2,1,13,0,0,13,14,27,10,49
0,Águas de São Pedro,12,1,0,1,1,7,0,0,7,5,10,4,42
0,Agudos,26,66,3,11,26,100,7,12,110,61,161,59,518
0,Alambari,1,6,0,0,0,12,3,0,14,4,13,3,67
0,Alfredo Marcondes,5,0,0,1,4,11,0,0,14,8,19,1,48
0,Altair,5,2,0,1,1,17,0,0,20,10,17,1,52
0,Altinópolis,33,20,0,3,3,50,5,4,58,13,63,11,163
0,Alto Alegre,1,0,0,1,0,6,0,0,6,3,9,0,33
0,Alumínio,21,9,0,1,4,31,3,1,31,11,42,2,98
0,Álvares Florence,11,0,0,5,0,4,0,0,4,4,6,2,44
0,Álvares Machado,34,13,3,9,12,80,1,1,92,37,128,18,319
0,Álvaro de Carvalho,15,3,17,0,0,9,1,2,10,5,14,0,60
0,Alvinlândia,2,2,0,3,7,5,2,0,5,5,10,0,42
0,Americana,86,236,6,33,79,457,223,5,571,114,646,273,2.097
0,Américo Brasiliense,57,23,1,3,9,102,16,18,113,48,156,34,286
0,Américo de Campos,5,1,0,4,3,9,0,0,11,14,16,1,101
0,Amparo,164,109,2,15,28,166,4,49,198,154,320,29,904
0,Analândia,10,4,0,0,0,3,0,0,4,6,9,5,56
0,Andradina,108,87,16,24,28,246,28,7,288,88,336,27,955
0,Angatuba,16,5,4,4,10,36,3,3,46,22,43,7,280
0,Anhembi,8,4,0,1,1,5,0,0,5,15,5,7,70
0,Anhumas,1,1,0,0,0,5,1,0,6,4,9,3,45
0,Aparecida,67,122,5,10,20,156,19,9,157,99,255,33,604
