,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Adamantina,37,61,7,2,11,68,23,6,92,83,68,9,367
0,Adolfo,4,0,0,3,9,3,0,0,3,5,5,0,16
0,Aguaí,219,32,38,4,18,125,2,4,142,89,214,30,578
0,Águas da Prata,9,2,0,0,2,5,1,0,5,8,14,2,48
0,Águas de Lindóia,13,10,2,4,11,24,1,0,36,21,51,30,219
0,Águas de Santa Bárbara,0,3,0,0,0,14,0,0,15,8,22,3,66
0,Águas de São Pedro,7,1,0,1,0,3,1,0,3,4,7,1,22
0,Agudos,35,60,1,13,29,92,5,2,111,78,170,43,267
0,Alambari,1,1,0,0,8,10,1,1,11,4,10,0,55
0,Alfredo Marcondes,2,1,0,2,4,6,0,0,7,4,10,1,33
0,Altair,2,1,0,1,1,2,2,0,3,6,2,1,21
0,Altinópolis,20,21,0,4,3,42,6,1,50,105,143,18,202
0,Alto Alegre,3,1,0,0,0,2,0,0,2,4,6,0,32
0,Alumínio,9,7,0,0,2,18,4,0,18,20,38,12,96
0,Álvares Florence,4,1,0,3,2,4,0,0,5,5,4,0,41
0,Álvares Machado,40,14,0,4,12,35,5,2,42,32,73,16,195
0,Álvaro de Carvalho,1,1,23,0,1,6,0,0,8,7,10,0,50
0,Alvinlândia,0,4,1,0,2,4,0,0,4,1,4,1,22
0,Americana,142,235,0,30,83,424,191,23,525,185,624,327,1.62
0,Américo Brasiliense,57,13,1,0,3,41,2,0,46,38,66,7,208
0,Américo de Campos,2,1,0,4,0,2,0,0,2,6,2,1,30
0,Amparo,106,43,7,19,35,116,6,21,147,111,214,42,706
0,Analândia,1,1,0,2,5,5,0,0,6,5,10,5,44
0,Andradina,62,99,18,30,45,167,42,14,201,121,288,24,844
0,Angatuba,28,18,8,4,8,32,4,4,42,26,38,6,252
0,Anhembi,7,1,0,0,15,4,0,0,4,6,4,2,72
0,Anhumas,2,0,0,2,3,6,0,0,7,8,15,0,22
0,Aparecida,71,64,3,10,15,153,5,0,162,86,239,18,595
0,Aparecida d'Oeste,4,1,0,5,0,2,0,0,3,15,2,0,53
0,Apiaí,8,17,0,24,16,19,3,0,19,47,66,5,188
0,Araçariguama,15,12,0,6,16,43,2,1,44,14,58,27,184
0,Araçatuba,183,263,5,39,113,551,37,20,683,303,864,216,2.403
0,Araçoiaba da Serra,17,13,0,6,12,30,0,0,44,19,63,14,170
0,Aramina,10,1,0,0,0,4,1,0,4,8,7,1,64
0,Arandu,2,1,0,0,0,9,1,0,8,4,11,0,47
0,Arapeí,0,0,0,0,1,5,0,0,5,1,6,0,57
0,Araraquara,170,229,2,30,62,453,22,21,569,315,696,218,1.497
0,Araras,81,152,17,18,51,263,60,8,324,163,474,183,1.101
0,Arco-Íris,2,0,0,0,0,0,0,0,0,2,2,1,3
0,Arealva,3,3,2,1,8,9,0,0,9,11,20,4,59
0,Areias,0,0,0,0,0,0,0,0,0,1,1,0,17
0,Areiópolis,4,3,0,1,1,6,0,0,6,5,6,4,32
0,Ariranha,16,6,0,3,2,9,7,0,12,6,13,2,66
0,Artur Nogueira,98,27,0,9,18,91,4,7,114,42,143,67,349
0,Arujá,1,39,21,14,29,122,35,16,162,180,342,57,597
0,Aspásia,0,0,0,1,0,1,0,0,1,0,1,0,5
0,Assis,187,121,0,14,50,365,48,4,428,255,563,155,1.159
0,Atibaia,64,92,0,19,72,347,34,1,422,171,515,125,1.659
0,Auriflama,8,7,0,0,1,10,0,2,12,13,23,1,120
0,Avaí,1,7,0,2,1,10,3,1,16,10,20,0,31
0,Avanhandava,19,11,3,7,5,20,2,3,27,9,31,7,220
0,Avaré,117,91,32,5,41,258,15,13,300,164,426,25,1.084
0,Bady Bassitt,28,2,1,2,6,21,0,0,25,14,32,10,111
0,Balbinos,39,2,19,2,41,4,0,1,4,2,6,0,20
0,Bálsamo,6,2,0,0,3,7,0,1,12,15,13,2,59
0,Bananal,6,4,0,0,4,15,0,0,16,10,25,1,195
0,Barão de Antonina,1,0,0,1,3,1,0,0,1,5,6,1,12
0,Barbosa,4,8,0,1,2,14,2,1,18,10,27,1,107
0,Bariri,56,23,1,15,20,41,6,0,55,35,76,13,254
0,Barra Bonita,102,33,0,9,7,59,15,0,76,62,121,23,323
0,Barra do Chapéu,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Barra do Turvo,3,2,0,5,20,12,0,1,20,24,36,2,122
0,Barretos,627,138,0,16,70,329,81,24,389,293,329,131,1.48
0,Barrinha,31,20,0,15,33,58,16,4,71,19,58,16,171
0,Barueri,25,132,2,20,83,368,22,13,444,233,601,188,2.427
0,Bastos,31,1,2,6,8,27,1,1,35,34,68,1,163
0,Batatais,96,90,4,4,15,162,153,39,197,113,249,28,749
0,Bauru,210,323,106,53,170,650,124,27,797,736,1.395,435,2.847
0,Bebedouro,66,94,1,10,28,183,85,3,228,134,287,49,790
0,Bento de Abreu,1,0,0,1,1,2,0,0,2,2,4,0,34
0,Bernardino de Campos,8,5,2,2,5,19,1,0,26,22,41,7,113
0,Bertioga,35,58,4,6,17,142,28,2,177,116,258,27,503
0,Bilac,8,7,0,2,6,17,0,0,25,20,38,1,240
0,Birigui,97,71,10,33,82,288,22,4,344,210,499,180,1.746
