,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Adamantina,41,54,2,4,4,88,29,11,108,100,88,8,535
0,Adolfo,1,1,0,1,5,9,0,0,13,1,10,0,50
0,Aguaí,160,27,3,7,11,100,3,3,109,98,198,37,630
0,Águas da Prata,44,4,1,0,1,9,5,0,16,14,25,3,53
0,Águas de Lindóia,30,18,0,4,7,22,3,2,32,29,50,11,267
0,Águas de Santa Bárbara,2,4,0,1,1,16,0,0,21,13,29,3,57
0,Águas de São Pedro,6,5,1,0,1,9,2,0,9,3,12,2,38
0,Agudos,39,39,1,8,18,88,16,8,104,59,147,33,423
0,Alambari,0,2,1,0,2,11,2,2,11,2,13,0,52
0,Alfredo Marcondes,9,2,0,0,0,11,0,0,12,7,18,0,34
0,Altair,5,1,0,0,0,2,2,1,2,4,2,1,26
0,Altinópolis,12,35,1,1,4,56,4,7,67,33,89,20,196
0,Alto Alegre,1,0,0,0,0,2,0,0,2,5,7,0,21
0,Alumínio,16,5,0,0,2,32,3,1,33,21,54,3,102
0,Álvares Florence,4,0,0,0,0,2,0,1,2,1,3,1,46
0,Álvares Machado,35,26,10,10,13,79,20,9,133,53,136,13,320
0,Álvaro de Carvalho,12,5,12,0,0,7,0,0,8,6,13,2,52
0,Alvinlândia,3,3,0,0,0,5,1,1,5,6,11,0,38
0,Americana,69,131,2,31,74,524,171,15,656,115,748,375,1.962
0,Américo Brasiliense,75,16,3,6,15,81,7,9,89,49,137,34,265
0,Américo de Campos,2,1,0,0,0,3,0,2,3,13,15,4,60
0,Amparo,130,119,0,3,17,158,11,31,183,131,289,54,1.222
0,Analândia,8,10,0,3,8,13,0,0,17,9,22,4,51
0,Andradina,73,66,23,31,32,194,22,19,221,157,354,37,789
0,Angatuba,32,18,1,4,5,53,6,1,65,38,76,8,263
0,Anhembi,5,2,0,1,10,8,1,0,10,8,8,4,68
0,Anhumas,2,2,0,0,1,4,0,1,5,4,8,1,36
0,Aparecida,59,80,6,7,17,113,22,33,128,97,210,18,547
0,Aparecida d'Oeste,3,2,1,4,1,2,0,3,2,16,15,10,41
0,Apiaí,32,19,35,18,27,39,4,6,45,27,66,11,230
0,Araçariguama,41,19,0,6,18,67,4,0,69,23,92,44,190
0,Araçatuba,103,370,0,56,125,848,171,21,981,321,1.169,260,2.582
0,Araçoiaba da Serra,13,24,0,6,19,84,2,0,97,22,119,16,185
0,Aramina,7,2,0,2,6,17,5,0,18,3,20,6,99
0,Arandu,2,3,0,0,1,14,1,0,15,7,21,1,46
0,Arapeí,0,1,0,1,5,8,3,0,8,3,11,1,39
0,Araraquara,123,283,2,27,59,757,93,37,903,378,1.114,296,2.313
0,Araras,92,317,10,28,76,365,105,43,443,167,532,192,1.488
0,Arco-Íris,4,0,0,5,5,5,0,0,5,4,8,0,16
0,Arealva,6,1,1,1,18,17,1,1,18,14,31,5,105
0,Areias,7,1,0,0,2,11,2,0,11,8,19,0,28
0,Areiópolis,7,17,0,1,1,27,5,0,30,10,27,4,78
0,Ariranha,9,5,1,1,2,8,0,1,9,14,19,10,87
0,Artur Nogueira,287,100,0,5,24,159,17,10,180,64,202,58,456
