,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Adamantina,29,36,8,3,18,102,17,11,127,89,102,15,504
0,Adolfo,0,2,0,0,0,4,0,0,6,1,6,0,34
0,Aguaí,153,47,10,2,9,104,1,7,122,113,217,47,657
0,Águas da Prata,42,3,1,0,1,7,0,0,7,17,24,5,63
0,Águas de Lindóia,32,14,3,3,6,25,0,3,30,38,63,15,160
0,Águas de Santa Bárbara,10,2,0,1,5,9,1,0,16,21,30,0,48
0,Águas de São Pedro,1,0,0,0,2,4,0,0,3,0,3,1,29
0,Agudos,25,47,2,3,22,108,11,6,141,92,200,34,498
0,Alambari,1,0,0,1,0,11,0,0,10,1,10,2,34
0,Alfredo Marcondes,10,3,0,0,2,13,0,2,23,6,19,3,40
0,Altair,0,1,0,0,0,6,0,0,7,6,12,3,28
0,Altinópolis,62,43,3,1,2,39,13,13,39,40,79,33,137
0,Alto Alegre,3,0,0,1,2,2,0,0,3,7,9,1,23
0,Alumínio,25,13,0,0,1,62,7,0,72,48,120,1,175
0,Álvares Florence,2,1,0,1,2,6,0,1,7,4,10,4,58
0,Álvares Machado,50,25,6,7,12,58,5,2,70,47,105,24,242
0,Álvaro de Carvalho,13,2,16,0,1,6,1,1,6,7,13,2,70
0,Alvinlândia,6,1,2,0,1,3,2,0,3,5,8,1,37
0,Americana,176,183,0,22,55,364,136,41,481,347,802,451,2.046
0,Américo Brasiliense,78,22,6,5,10,77,3,17,94,73,150,33,208
0,Américo de Campos,8,5,0,0,0,6,1,1,10,15,21,6,62
0,Amparo,156,138,0,1,10,186,16,29,232,110,296,29,878
0,Analândia,4,4,0,0,0,4,0,0,8,9,14,3,46
0,Andradina,64,129,25,6,28,271,43,55,317,150,421,27,1.062
