,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Adamantina,25,9,1,7,16,49,4,1,60,10,49,1,273
0,Adolfo,0,0,1,0,3,3,0,0,5,5,3,0,39
0,Aguaí,21,19,1,12,27,75,4,1,90,48,138,39,333
0,Águas da Prata,5,1,1,0,6,6,1,0,9,10,17,2,51
0,Águas de Lindóia,12,0,0,5,4,13,1,1,20,25,37,14,124
0,Águas de Santa Bárbara,0,0,0,0,1,2,0,0,3,7,9,1,48
0,Águas de São Pedro,3,0,0,0,1,6,0,0,8,3,10,1,42
0,Agudos,9,3,1,12,23,36,5,0,51,35,71,25,192
0,Alambari,2,0,0,1,4,5,0,0,6,2,5,2,42
0,Alfredo Marcondes,1,1,0,5,4,2,0,0,8,0,2,0,52
0,Altair,0,1,0,2,5,6,0,1,6,1,6,0,43
0,Altinópolis,20,4,0,7,8,18,37,0,25,60,18,17,96
0,Alto Alegre,1,0,0,5,8,2,0,0,3,2,4,0,22
0,Alumínio,6,1,1,2,6,30,1,0,40,14,43,14,122
0,Álvares Florence,0,0,0,1,4,3,0,0,3,3,3,3,36
0,Álvares Machado,5,0,1,13,71,23,1,2,29,20,23,4,113
0,Álvaro de Carvalho,0,2,32,0,1,5,2,0,8,5,8,0,41
0,Alvinlândia,0,0,0,3,3,4,0,0,4,0,4,0,12
0,Americana,133,70,0,54,154,362,57,5,475,141,230,246,1.220
0,Américo Brasiliense,22,3,0,6,14,36,34,5,48,38,39,8,182
0,Américo de Campos,2,0,0,1,3,4,4,0,6,2,4,0,49
0,Amparo,66,18,5,16,27,79,0,0,96,52,131,55,476
0,Analândia,7,0,0,2,2,3,0,0,4,3,6,6,70
0,Andradina,79,39,11,53,71,131,20,2,169,71,200,18,740
0,Angatuba,7,4,1,8,52,20,2,0,21,16,20,9,127
0,Anhembi,0,0,0,3,8,5,1,0,14,1,5,2,32
0,Anhumas,0,0,1,1,1,1,0,0,1,0,1,3,23
0,Aparecida,45,6,1,13,40,121,5,0,150,63,211,24,534
0,Aparecida d'Oeste,2,0,0,2,0,2,0,0,2,3,2,1,35
0,Apiaí,4,3,0,34,29,14,1,0,14,18,32,1,182
0,Araçariguama,7,2,0,3,12,19,0,0,31,7,26,27,133
0,Araçatuba,188,147,0,105,195,459,43,11,602,272,733,81,1.812
0,Araçoiaba da Serra,4,3,1,4,25,46,3,0,63,25,72,55,221
0,Aramina,1,0,0,3,2,6,0,0,8,3,6,2,45
0,Arandu,1,0,0,2,3,3,0,0,3,4,7,1,19
0,Arapeí,0,0,0,0,2,1,0,0,1,1,1,0,28
0,Araraquara,219,183,1,58,119,465,41,0,622,172,465,155,1.384
0,Araras,65,30,16,46,103,226,20,11,312,199,400,196,969
0,Arco-Íris,0,0,0,2,5,4,0,0,4,0,4,0,7
0,Arealva,2,0,0,5,5,4,0,0,10,9,13,5,44
0,Areias,0,0,0,0,0,2,0,0,2,6,2,0,16
0,Areiópolis,3,0,0,2,2,3,0,0,4,3,3,2,28
0,Ariranha,3,0,0,8,2,3,0,1,3,4,4,2,54
0,Artur Nogueira,49,9,0,14,41,55,4,1,72,28,1,41,331
0,Arujá,6,6,1,26,84,103,17,13,148,42,208,144,518
0,Aspásia,0,0,0,2,1,0,0,0,0,1,0,0,6
0,Assis,136,87,0,32,87,249,16,6,287,160,248,135,970
