,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Adamantina,37,53,3,7,10,118,28,13,142,71,118,6,663
0,Adolfo,5,2,0,1,1,7,0,0,8,6,13,1,48
0,Aguaí,94,30,5,9,19,89,2,2,91,93,183,59,652
0,Águas da Prata,49,2,3,0,0,4,0,0,6,7,11,4,53
0,Águas de Lindóia,34,20,2,4,4,32,4,2,47,56,88,19,210
0,Águas de Santa Bárbara,4,5,0,0,1,17,0,0,21,10,27,5,52
0,Águas de São Pedro,5,2,0,0,1,8,0,0,13,1,9,2,37
0,Agudos,52,47,4,7,17,92,20,16,113,83,175,35,574
0,Alambari,5,1,0,1,2,11,1,0,11,10,18,0,48
0,Alfredo Marcondes,6,1,0,1,1,9,0,0,9,8,17,0,30
0,Altair,1,0,1,1,1,3,0,0,3,4,3,3,25
0,Altinópolis,17,15,3,2,8,34,9,6,49,38,72,20,162
0,Alto Alegre,2,0,0,1,1,5,0,0,8,5,10,1,22
0,Alumínio,28,11,0,1,4,47,0,0,47,40,87,4,82
0,Álvares Florence,2,0,0,0,2,13,0,0,13,4,17,5,65
0,Álvares Machado,36,24,4,15,22,67,10,4,87,56,123,20,241
0,Álvaro de Carvalho,27,6,13,0,0,10,4,2,12,7,17,4,89
0,Alvinlândia,4,0,1,1,0,0,0,1,0,3,3,0,18
0,Americana,42,111,0,25,70,399,223,13,506,259,738,408,2.107
0,Américo Brasiliense,54,30,1,10,12,62,7,9,68,73,128,25,203
0,Américo de Campos,3,7,0,0,0,6,0,0,11,8,14,2,72
0,Amparo,150,106,0,3,37,174,24,27,216,119,293,48,826
0,Analândia,7,1,0,2,3,3,0,0,3,7,10,6,57
0,Andradina,65,64,39,22,37,201,32,37,224,150,354,58,821
0,Angatuba,38,35,3,3,7,97,18,10,128,51,159,4,325
0,Anhembi,2,0,2,2,5,6,0,0,12,11,6,4,68
0,Anhumas,8,4,1,0,2,5,0,0,6,6,11,2,38
0,Aparecida,37,69,3,16,29,122,32,17,131,89,211,20,513
0,Aparecida d'Oeste,1,2,0,0,3,5,0,3,12,7,12,3,41
0,Apiaí,34,16,0,11,20,31,0,0,38,39,70,7,281
0,Araçariguama,22,14,0,12,15,61,2,3,61,31,92,42,189
0,Araçatuba,99,444,6,61,121,763,172,12,899,320,1.083,216,2.464
0,Araçoiaba da Serra,45,31,0,7,16,94,2,0,109,31,140,19,270
0,Aramina,5,2,0,0,0,10,8,0,10,9,19,12,59
0,Arandu,6,4,0,2,9,16,1,0,18,10,26,1,43
0,Arapeí,3,2,0,1,2,12,2,0,13,1,13,0,40
0,Araraquara,124,300,0,37,100,716,90,25,884,532,1.251,197,2.052
0,Araras,116,369,6,17,51,436,113,27,530,201,637,206,1.43
0,Arco-Íris,1,0,0,1,0,3,0,0,3,3,6,0,8
0,Arealva,3,1,0,1,7,9,0,2,14,10,19,8,102
0,Areias,3,4,0,1,1,11,1,0,12,2,13,1,34
0,Areiópolis,6,11,0,0,0,15,2,0,18,6,15,4,63
0,Ariranha,8,0,0,0,0,2,2,2,2,20,22,3,80
0,Artur Nogueira,181,61,0,9,18,97,6,10,120,47,144,55,324
0,Arujá,6,41,8,10,24,156,11,3,197,68,305,115,1.971
0,Aspásia,3,0,0,2,1,1,0,0,1,1,2,0,13
0,Assis,70,362,38,17,31,531,190,43,649,369,900,105,1.385
0,Atibaia,50,216,0,22,36,549,87,12,660,194,743,291,1.809
0,Auriflama,7,9,1,7,12,28,2,0,31,15,43,0,115
0,Avaí,8,5,0,13,19,18,0,0,22,8,26,2,69
0,Avanhandava,12,18,1,3,11,33,3,1,40,4,37,6,105
0,Avaré,122,175,42,8,26,297,58,10,348,350,647,11,1.012
0,Bady Bassitt,23,13,2,0,3,19,5,5,30,13,32,19,139
0,Balbinos,52,11,16,0,9,3,0,1,3,0,3,0,40
0,Bálsamo,5,3,0,0,0,10,2,1,12,19,29,2,90
0,Bananal,10,4,0,0,1,21,0,1,21,17,38,3,101
0,Barão de Antonina,2,3,1,0,1,6,0,0,6,2,8,0,21
0,Barbosa,9,13,2,0,3,18,2,1,22,15,34,6,92
0,Bariri,31,16,5,6,18,81,2,3,93,62,143,15,314
0,Barra Bonita,96,52,15,14,8,124,25,15,146,82,206,29,393
0,Barra do Chapéu,0,0,0,2,1,1,0,0,1,0,1,1,11
0,Barra do Turvo,2,10,0,8,40,19,2,2,27,27,46,9,100
0,Barretos,278,261,9,24,52,463,129,17,525,247,463,258,1.603
0,Barrinha,31,41,0,14,18,75,12,3,83,27,75,22,210
0,Barueri,355,252,6,25,75,685,80,80,856,404,1.089,292,2.426
0,Bastos,27,9,3,9,14,32,2,1,38,30,62,12,208
0,Batatais,57,199,49,11,21,217,225,17,256,209,426,72,708
0,Bauru,252,550,90,67,184,1.087,209,24,1.312,591,1.678,749,4.089
0,Bebedouro,79,111,3,23,39,207,11,5,243,148,357,182,743
0,Bento de Abreu,1,0,1,0,1,5,0,0,5,2,7,1,19
0,Bernardino de Campos,24,11,1,0,0,17,3,2,20,23,40,1,165
0,Bertioga,36,70,1,6,38,179,28,0,211,132,311,84,457
0,Bilac,1,3,0,3,5,9,0,0,15,6,15,2,60
0,Birigui,81,109,2,30,53,341,36,19,424,246,587,175,1.459
0,Biritiba Mirim,6,37,2,4,10,52,20,6,60,32,84,10,212
0,Boa Esperança do Sul,28,8,5,6,6,32,1,5,34,30,61,7,111
0,Bocaina,12,5,0,3,4,16,3,0,20,20,36,6,98
0,Bofete,6,13,0,1,1,28,5,0,30,9,28,4,103
0,Boituva,85,144,8,4,11,230,58,0,263,63,313,92,693
0,Bom Jesus dos Perdões,16,47,6,5,9,71,16,3,87,29,100,19,238
0,Bom Sucesso de Itararé,0,0,0,0,6,6,0,0,8,5,11,0,33
0,Borá,1,0,0,0,0,0,0,0,0,1,1,0,7
0,Boracéia,2,3,0,0,0,9,3,0,10,9,18,3,48
0,Borborema,46,19,0,1,21,46,3,0,49,34,80,12,222
0,Borebi,3,1,0,1,2,2,0,0,2,5,7,0,25
0,Botucatu,42,208,5,20,40,471,97,4,559,270,471,49,1.269
0,Bragança Paulista,91,297,28,25,87,656,67,62,746,359,1.016,155,2.032
0,Braúna,11,3,0,2,3,7,2,0,10,3,10,4,43
0,Brejo Alegre,0,1,0,1,1,9,0,0,10,7,16,2,25
0,Brodowski,15,62,4,4,10,77,63,10,102,35,110,30,231
0,Brotas,38,21,4,4,20,34,1,2,55,46,80,24,256
0,Buri,19,12,3,7,16,39,9,12,47,46,81,7,153
0,Buritama,12,28,0,3,7,61,8,1,79,61,122,9,260
0,Buritizal,12,1,0,1,1,6,9,0,6,6,12,4,115
0,Cabrália Paulista,2,5,0,0,1,6,2,0,6,7,13,4,27
0,Cabreúva,66,121,22,12,11,126,20,7,141,62,187,25,504
0,Caçapava,35,94,8,33,54,236,37,6,287,100,336,110,770
0,Cachoeira Paulista,17,27,0,7,27,32,7,10,41,37,69,2,402
0,Caconde,12,10,1,6,10,37,3,0,46,25,70,11,230
0,Cafelândia,15,12,5,4,7,31,15,11,39,39,70,9,178
0,Caiabu,3,1,0,1,2,3,0,0,3,1,4,2,45
0,Caieiras,11,22,2,1,5,97,10,2,117,96,171,75,652
0,Caiuá,5,8,5,3,5,21,4,0,26,104,125,2,59
0,Cajamar,10,55,8,10,26,165,31,9,191,121,290,119,630
0,Cajati,34,30,5,6,13,58,16,13,70,63,121,22,278
0,Cajobi,17,8,0,3,5,27,1,4,31,13,27,3,82
0,Cajuru,18,59,8,5,10,96,15,4,127,44,140,16,382
0,Campina do Monte Alegre,13,4,0,1,2,8,1,2,8,17,19,1,53
0,Campinas,337,962,107,194,520,2.869,471,94,3.547,1.267,4.16,3.249,8.128
0,Campo Limpo Paulista,29,83,11,11,25,164,42,13,200,141,306,136,663
0,Campos do Jordão,23,46,0,11,22,101,19,15,119,98,200,34,323
0,Campos Novos Paulista,4,2,1,1,2,11,2,0,14,10,21,0,51
0,Cananéia,46,14,3,6,11,26,1,1,29,31,57,1,195
0,Canas,6,5,1,0,1,6,0,0,7,4,10,6,47
0,Cândido Mota,32,52,3,3,7,116,24,8,130,84,200,16,293
0,Cândido Rodrigues,2,0,0,0,0,2,0,0,2,3,5,0,7
0,Canitar,10,4,0,1,1,9,3,3,11,6,15,2,50
0,Capão Bonito,32,34,15,18,35,123,5,16,155,101,223,37,439
0,Capela do Alto,42,50,6,3,6,55,10,1,69,25,81,26,239
