,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Adamantina,28,12,9,7,23,58,9,0,78,25,58,3,332
0,Adolfo,1,0,0,0,0,2,0,0,2,7,2,0,27
0,Aguaí,20,18,4,18,33,91,5,0,118,53,171,27,460
0,Águas da Prata,5,2,0,2,6,9,3,0,12,10,19,8,61
0,Águas de Lindóia,9,9,0,9,11,21,3,0,27,24,45,14,153
0,Águas de Santa Bárbara,0,0,0,0,2,1,0,0,1,8,9,1,37
0,Águas de São Pedro,5,0,0,4,7,5,0,0,7,2,8,1,31
0,Agudos,5,7,7,5,22,46,6,2,58,64,110,24,273
0,Alambari,1,1,0,3,1,6,0,0,10,1,6,5,30
0,Alfredo Marcondes,0,0,1,2,0,2,0,0,3,0,2,0,27
0,Altair,2,1,0,0,1,2,0,0,2,7,2,2,28
0,Altinópolis,25,6,0,4,9,15,0,0,22,71,15,10,98
0,Alto Alegre,0,0,0,1,11,4,0,0,6,1,5,1,25
0,Alumínio,4,1,3,4,13,24,2,0,32,0,32,15,124
0,Álvares Florence,0,0,0,3,1,2,0,0,2,1,2,0,13
0,Álvares Machado,5,1,3,11,15,13,0,0,18,25,13,9,126
0,Álvaro de Carvalho,3,4,21,2,2,11,0,1,12,4,12,1,69
0,Alvinlândia,0,0,0,1,4,0,0,0,0,0,0,0,13
0,Americana,136,70,0,34,106,413,82,0,547,188,323,227,1.343
0,Américo Brasiliense,15,5,0,17,20,29,9,2,35,58,30,7,165
0,Américo de Campos,2,1,0,1,6,4,0,0,4,4,4,1,49
0,Amparo,46,21,7,27,27,68,6,0,80,90,155,62,575
0,Analândia,2,0,1,1,3,6,1,0,9,2,8,5,67
0,Andradina,112,43,12,73,109,110,9,3,136,111,221,12,784
0,Angatuba,13,4,0,13,19,19,0,0,29,29,20,10,121
0,Anhembi,3,0,0,6,10,4,0,0,9,2,4,3,26
0,Anhumas,1,0,0,0,1,0,0,0,0,4,3,0,25
0,Aparecida,61,12,8,12,27,136,2,1,146,77,228,28,584
0,Aparecida d'Oeste,1,0,0,5,1,3,0,1,5,6,3,0,67
0,Apiaí,1,4,0,39,39,11,1,0,12,23,34,3,205
0,Araçariguama,4,0,1,13,17,23,0,1,25,6,31,56,160
0,Araçatuba,273,188,8,150,276,459,33,16,611,395,887,108,1.940
0,Araçoiaba da Serra,6,4,0,12,36,56,0,0,67,34,101,38,289
0,Aramina,3,0,0,1,8,10,0,0,18,4,10,4,47
0,Arandu,3,0,0,1,1,2,0,0,2,1,3,0,25
0,Arapeí,0,1,0,8,13,7,0,0,7,2,7,0,33
0,Todos,21.698,13.935,2.119,17.253,39.551,67.970,8.426,1.946,91.078,41.977,97.663,86.384,344.668
0,Araraquara,273,181,0,82,166,400,1,0,518,288,400,141,1.476
0,Arco-Íris,0,0,0,1,2,3,0,0,6,0,3,0,6
0,Arealva,5,0,0,5,7,7,0,0,11,5,12,3,42
0,Areias,1,0,0,2,6,5,0,0,7,2,5,0,17
0,Areiópolis,3,3,0,2,3,4,1,0,5,6,4,0,19
0,Ariranha,2,0,0,12,5,2,0,0,2,8,9,0,39
0,Artur Nogueira,55,9,0,13,35,64,2,4,92,18,0,55,330
0,Arujá,5,5,2,26,64,95,19,10,119,48,199,154,515
0,Aspásia,0,0,0,2,4,2,0,0,6,0,2,0,13
0,Assis,120,66,0,51,136,204,21,6,246,173,204,94,910
0,Atibaia,71,40,4,59,114,202,3,0,245,73,275,186,1.210
0,Auriflama,15,1,0,10,13,24,0,3,28,19,45,0,148
0,Avaí,0,2,0,4,10,7,0,0,9,3,10,2,38
0,Avanhandava,11,9,0,1,8,17,0,0,21,4,20,4,44
