,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Adamantina,46,70,6,9,12,155,24,11,193,97,155,8,525
0,Adolfo,6,1,0,0,0,2,0,0,2,4,6,0,39
0,Aguaí,75,36,11,5,13,80,4,9,96,89,169,43,521
0,Águas da Prata,26,3,2,2,2,6,0,0,9,10,16,5,48
0,Águas de Lindóia,12,19,0,2,3,28,5,3,33,37,69,16,168
0,Águas de Santa Bárbara,10,2,0,6,6,12,0,0,12,17,29,4,49
0,Águas de São Pedro,0,0,0,0,0,0,0,0,0,0,0,0,5
0,Agudos,31,48,2,6,17,85,5,3,111,108,193,52,442
0,Alambari,1,0,0,1,3,6,0,0,5,6,11,1,33
0,Alfredo Marcondes,9,0,0,1,1,4,0,2,4,8,12,1,36
0,Altair,0,0,1,1,2,5,0,0,7,3,8,1,26
0,Altinópolis,59,33,1,4,5,44,13,1,50,30,74,26,151
0,Alto Alegre,1,1,0,3,7,7,0,0,14,3,10,1,22
0,Alumínio,13,10,0,2,3,50,4,1,52,50,102,7,101
0,Álvares Florence,3,0,0,0,2,3,0,1,4,6,9,1,49
0,Álvares Machado,42,16,5,10,18,46,15,1,53,54,100,25,228
0,Álvaro de Carvalho,18,6,13,3,2,10,0,8,12,7,17,0,73
0,Alvinlândia,7,3,0,1,2,4,5,0,4,4,8,0,37
0,Americana,206,257,0,28,83,304,121,45,407,402,788,432,1.765
0,Américo Brasiliense,52,12,0,1,4,52,1,11,63,87,139,16,214
0,Américo de Campos,6,2,0,0,0,9,2,1,11,6,15,5,64
0,Amparo,159,117,0,0,21,175,10,33,233,133,306,37,772
0,Analândia,7,2,0,0,3,5,0,0,8,9,14,3,34
0,Andradina,47,99,25,8,26,287,15,17,327,148,435,36,970
0,Angatuba,61,10,1,3,4,53,3,6,61,60,113,27,235
0,Anhembi,6,3,0,0,0,7,0,1,8,6,7,0,78
0,Anhumas,6,5,0,0,0,8,0,0,10,4,12,1,44
0,Aparecida,45,86,8,6,15,120,29,17,138,74,194,36,454
0,Aparecida d'Oeste,1,0,1,2,2,1,0,1,1,8,9,1,34
0,Apiaí,18,24,0,3,48,40,1,1,52,28,68,10,295
0,Araçariguama,29,14,2,1,4,35,2,1,47,56,103,37,176
0,Araçatuba,73,779,31,48,134,1.002,270,11,1.138,378,1.380,198,3.167
0,Araçoiaba da Serra,19,17,0,5,9,43,2,0,51,47,98,18,262
0,Aramina,13,3,1,1,0,6,5,0,7,9,15,10,60
0,Arandu,6,4,1,2,6,13,0,0,14,18,31,5,37
0,Arapeí,2,4,0,0,2,9,1,0,11,5,14,1,76
0,Araraquara,127,344,1,15,42,731,114,11,874,536,1.265,208,1.860
0,Araras,112,293,14,23,37,387,44,18,448,250,635,207,1.185
0,Arco-Íris,1,0,0,0,0,0,0,0,0,1,1,1,8
0,Arealva,9,4,1,0,12,10,1,4,12,11,21,6,71
0,Areias,3,2,0,1,2,6,0,0,6,1,7,2,41
0,Areiópolis,3,4,0,1,1,17,0,0,18,18,17,1,84
0,Ariranha,15,2,0,2,7,11,1,0,13,16,28,10,78
0,Artur Nogueira,68,56,12,6,26,85,4,5,102,84,172,63,336
0,Arujá,16,90,4,12,28,229,24,0,334,20,354,139,881
0,Aspásia,0,0,0,0,0,0,0,0,0,7,7,0,4
0,Assis,84,312,38,27,81,437,139,78,527,415,852,151,1.343
0,Atibaia,60,207,0,19,67,627,84,19,744,273,899,198,1.573
0,Auriflama,8,5,1,2,4,18,3,5,21,21,39,4,127
0,Avaí,2,10,0,5,6,15,3,0,15,7,22,2,55
0,Avanhandava,32,63,1,3,8,62,2,0,69,31,93,4,189
0,Avaré,59,179,20,10,31,298,41,15,362,347,642,21,1.036
0,Bady Bassitt,4,9,1,0,0,15,1,5,17,31,46,28,165
0,Balbinos,59,20,13,0,0,6,0,0,9,8,14,1,69
0,Bálsamo,10,7,0,2,5,8,0,5,9,18,26,7,98
0,Bananal,10,6,0,3,5,23,3,0,27,34,57,1,180
0,Barão de Antonina,0,0,0,1,1,3,0,0,3,7,9,1,23
0,Barbosa,17,17,0,0,0,25,5,0,27,13,38,3,107
0,Bariri,17,18,9,8,15,56,5,5,63,64,120,16,307
0,Barra Bonita,145,35,20,4,5,96,12,18,116,67,163,28,337
0,Barra do Chapéu,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Barra do Turvo,1,3,0,20,75,31,7,1,39,18,49,12,125
0,Barretos,112,303,99,10,50,438,144,19,529,252,690,194,1.491
0,Barrinha,15,41,2,7,14,50,8,1,66,41,52,25,225
0,Barueri,155,198,11,21,60,542,74,15,635,361,903,299,2.201
0,Bastos,17,11,0,1,2,35,2,5,38,42,77,2,194
0,Batatais,25,165,35,8,21,207,135,27,220,134,341,65,643
0,Bauru,174,553,132,66,175,1.056,132,35,1.338,745,1.801,513,3.243
0,Bebedouro,81,171,0,13,21,216,21,3,242,183,387,153,857
0,Bento de Abreu,3,0,0,0,0,2,0,0,2,2,4,0,15
0,Bernardino de Campos,23,24,2,1,5,29,2,0,33,29,58,2,137
0,Bertioga,38,102,15,6,18,223,42,36,258,119,331,64,415
0,Bilac,6,6,0,1,7,7,0,0,10,18,25,1,49
0,Birigui,89,128,3,26,53,373,31,15,455,247,620,105,1.469
0,Biritiba Mirim,11,26,0,1,2,56,30,1,60,51,107,14,335
0,Boa Esperança do Sul,17,16,0,1,5,35,2,7,35,39,74,8,131
0,Bocaina,8,3,1,5,9,19,1,1,25,22,41,6,81
0,Bofete,7,5,0,4,9,15,3,2,16,31,15,6,70
0,Boituva,66,69,38,7,28,130,21,17,161,127,257,124,563
