,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Espírito Santo do Pinhal,75,16,3,20,56,76,14,6,108,79,178,18,457
0,Espírito Santo do Turvo,2,0,0,1,2,7,0,0,9,6,13,1,44
0,Estiva Gerbi,1,2,1,2,9,5,0,1,8,5,9,2,64
0,Estrela do Norte,1,1,0,0,2,6,0,0,10,1,7,0,22
0,Estrela d'Oeste,7,2,0,0,0,8,0,3,9,21,8,0,53
0,Euclides da Cunha Paulista,3,2,0,4,9,19,2,3,22,12,19,2,99
0,Fartura,7,4,2,18,6,18,0,0,24,22,40,3,113
0,Fernando Prestes,4,3,0,3,1,7,1,0,10,3,7,1,44
0,Fernandópolis,45,31,0,37,29,100,19,5,121,132,102,19,528
0,Fernão,0,0,0,0,0,0,0,0,0,1,1,1,5
0,Ferraz de Vasconcelos,12,33,0,41,91,176,82,2,256,69,245,369,570
0,Flora Rica,0,0,0,1,1,2,0,0,3,2,2,0,12
0,Floreal,0,0,0,0,1,2,0,0,2,0,2,1,23
0,Flórida Paulista,2,1,7,2,25,7,2,0,8,15,7,2,89
0,Florínia,2,5,0,2,5,15,1,0,19,2,15,5,43
0,Franca,625,209,21,50,192,562,198,1,706,320,577,340,2.256
0,Francisco Morato,16,24,7,42,81,134,11,10,160,112,246,115,590
0,Franco da Rocha,28,86,2,27,83,212,3,0,265,71,322,81,902
0,Gabriel Monteiro,0,2,0,3,2,4,0,0,4,3,7,0,16
0,Gália,3,3,0,0,3,12,1,0,19,0,14,0,59
0,Garça,66,9,4,8,26,54,2,15,85,112,105,5,305
0,Gastão Vidigal,0,1,0,7,3,3,0,0,4,4,8,0,37
0,Gavião Peixoto,0,3,0,6,5,7,0,0,15,3,7,1,22
0,General Salgado,3,2,0,8,6,9,0,0,15,7,15,2,83
0,Getulina,8,23,6,0,13,40,0,0,44,18,52,3,111
0,Glicério,0,3,0,0,9,4,0,4,6,6,10,4,38
0,Guaiçara,5,0,0,1,3,7,0,1,10,13,19,5,61
0,Guaimbê,3,1,0,0,4,4,0,0,5,7,11,2,39
0,Guaíra,50,6,0,16,27,65,40,0,93,101,65,13,263
0,Guapiaçu,8,4,0,1,7,25,0,1,31,11,25,6,92
0,Guapiara,4,0,1,3,6,17,2,1,25,14,31,5,94
