,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Adamantina,61,27,7,2,8,64,3,0,85,95,64,2,351
0,Adolfo,0,3,0,3,3,8,4,0,8,4,8,0,39
0,Aguaí,55,17,16,8,20,69,3,0,88,75,154,15,402
0,Águas da Prata,6,3,1,0,2,6,0,0,8,7,14,1,49
0,Águas de Lindóia,9,8,1,4,5,27,1,0,30,34,61,10,119
0,Águas de Santa Bárbara,5,2,0,2,3,5,1,0,5,5,10,0,49
0,Águas de São Pedro,1,0,1,2,5,5,0,0,7,1,6,1,17
0,Agudos,2,12,5,5,15,51,1,0,60,58,109,21,214
0,Alambari,0,0,0,0,5,4,0,0,9,2,4,5,41
0,Alfredo Marcondes,1,1,1,2,0,2,0,0,3,5,5,0,27
0,Altair,2,5,0,0,0,4,2,0,7,6,4,1,24
0,Altinópolis,18,6,1,2,6,22,1,1,36,61,26,4,105
0,Alto Alegre,1,0,0,1,3,4,0,0,4,9,13,0,30
0,Alumínio,7,10,0,0,1,24,1,0,27,14,41,9,109
0,Álvares Florence,0,0,0,4,0,1,0,1,1,4,1,2,38
0,Álvares Machado,15,5,6,7,15,24,4,3,29,34,24,3,200
0,Álvaro de Carvalho,4,1,34,0,0,4,0,0,4,7,7,0,49
0,Alvinlândia,0,0,7,0,1,2,0,0,2,0,2,0,25
0,Americana,161,167,0,30,85,454,127,0,575,136,417,219,1.68
0,Américo Brasiliense,43,17,0,2,19,36,0,0,36,30,39,9,163
0,Américo de Campos,0,0,0,3,3,2,0,0,4,11,3,0,50
0,Amparo,84,34,15,14,28,102,4,5,128,181,283,25,616
0,Analândia,4,1,0,0,1,5,0,0,7,2,7,6,33
0,Andradina,49,69,20,31,40,155,13,9,183,79,237,13,825
0,Angatuba,13,14,0,4,4,22,3,0,32,12,22,4,146
0,Anhembi,1,2,0,2,9,2,1,0,3,2,2,0,34
0,Anhumas,0,0,0,0,0,4,0,0,5,4,9,2,23
0,Aparecida,37,34,2,8,10,84,6,1,91,61,145,20,422
0,Aparecida d'Oeste,0,0,0,0,1,2,0,1,2,7,2,0,27
0,Apiaí,4,3,0,30,16,28,1,0,28,25,53,0,280
0,Araçariguama,6,10,1,1,5,26,0,0,34,21,53,18,80
0,Araçatuba,148,126,0,42,126,396,24,22,480,307,699,74,1.678
0,Araçoiaba da Serra,20,6,2,5,23,50,0,0,62,18,80,35,171
0,Aramina,5,1,0,1,1,4,0,0,4,5,4,2,40
0,Arandu,1,3,0,0,2,4,0,0,8,3,8,0,29
0,Arapeí,1,2,0,1,1,3,1,0,5,7,10,0,28
0,Araraquara,225,192,1,45,115,434,0,0,583,211,434,122,1.17
0,Araras,99,76,30,21,81,243,24,1,319,165,413,130,968
0,Arco-Íris,0,0,0,2,2,4,0,0,9,0,3,3,6
0,Arealva,0,0,0,0,3,4,0,0,6,7,10,5,43
0,Areias,1,0,0,0,0,2,0,0,2,4,6,1,10
