,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Adamantina,22,12,11,8,20,54,8,0,66,18,54,0,366
0,Adolfo,1,1,0,1,2,5,2,0,6,2,5,1,33
0,Aguaí,29,13,3,16,25,98,4,3,122,64,171,54,449
0,Águas da Prata,2,0,0,2,3,5,2,0,5,6,12,3,45
0,Águas de Lindóia,5,2,0,15,14,17,0,7,19,36,53,12,133
0,Águas de Santa Bárbara,1,0,1,2,2,1,0,0,1,4,5,1,47
0,Águas de São Pedro,7,2,0,4,10,6,0,0,7,6,13,4,35
0,Agudos,5,1,5,14,42,30,0,2,35,55,85,38,261
0,Alambari,0,1,0,3,4,4,0,2,5,1,4,4,29
0,Alfredo Marcondes,0,0,0,1,1,4,0,0,6,0,4,1,27
0,Altair,0,0,1,1,5,1,0,0,2,3,1,0,29
0,Altinópolis,12,9,0,12,12,22,0,0,31,83,22,10,95
0,Alto Alegre,0,0,0,0,6,1,0,0,4,0,1,1,21
0,Alumínio,10,1,1,2,2,27,2,0,38,6,44,12,110
0,Álvares Florence,0,0,0,7,2,2,0,0,2,3,2,0,22
0,Álvares Machado,4,1,6,17,20,13,2,0,28,28,13,2,129
0,Álvaro de Carvalho,21,1,28,2,2,21,0,0,24,4,23,0,92
0,Alvinlândia,0,1,0,2,6,3,0,0,3,0,3,0,20
0,Americana,91,89,0,58,127,394,44,2,495,224,343,228,1.178
0,Américo Brasiliense,20,2,0,12,26,35,1,1,36,47,36,4,180
0,Américo de Campos,0,0,0,2,1,1,0,0,1,4,1,0,63
0,Amparo,31,15,38,17,26,51,2,0,74,98,149,34,458
0,Analândia,7,1,0,1,1,8,0,0,9,3,11,11,41
0,Andradina,91,22,16,64,84,81,13,1,103,102,158,13,596
0,Angatuba,4,8,0,2,8,18,0,0,24,40,23,6,112
0,Anhembi,3,0,0,3,6,1,0,0,2,1,1,4,33
0,Anhumas,0,0,1,2,4,2,0,0,2,4,2,0,30
0,Aparecida,101,15,53,16,28,190,4,3,203,117,294,26,669
0,Aparecida d'Oeste,2,1,0,10,4,2,0,0,3,7,2,1,64
0,Apiaí,4,1,3,39,22,9,0,0,15,39,48,3,193
0,Araçariguama,1,0,1,8,11,12,0,0,13,5,18,39,123
0,Araçatuba,275,147,40,143,256,411,9,9,527,458,871,110,1.941
0,Araçoiaba da Serra,20,6,1,6,19,57,0,0,70,22,92,47,279
0,Aramina,0,0,0,1,1,3,1,0,5,9,3,6,31
