,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Adamantina,24,14,6,1,8,44,0,0,55,76,44,2,351
0,Adolfo,2,0,0,1,2,5,0,2,7,4,5,0,17
0,Aguaí,89,17,6,4,11,91,1,0,108,72,163,28,485
0,Águas da Prata,15,1,2,2,5,6,0,0,8,10,17,4,62
0,Águas de Lindóia,13,11,0,3,4,16,5,1,22,24,40,13,180
0,Águas de Santa Bárbara,1,2,0,4,5,4,0,0,4,4,6,3,62
0,Águas de São Pedro,2,1,1,0,1,9,0,0,11,3,14,1,53
0,Agudos,14,21,1,6,16,64,1,0,81,69,133,35,342
0,Alambari,2,1,1,0,1,3,1,0,4,0,3,7,49
0,Alfredo Marcondes,7,1,0,2,2,5,0,0,6,6,10,0,48
0,Altair,1,1,0,0,1,4,1,0,5,7,4,3,33
0,Altinópolis,13,11,7,0,5,24,0,0,31,10,41,14,82
0,Alto Alegre,2,1,1,4,3,2,0,0,2,7,9,0,20
0,Alumínio,7,5,0,2,5,41,1,0,43,18,61,5,123
0,Álvares Florence,2,0,0,2,0,1,0,0,1,1,1,3,29
0,Álvares Machado,20,7,0,7,9,16,8,4,19,40,17,10,199
0,Álvaro de Carvalho,3,1,40,0,0,6,0,0,7,9,15,0,88
0,Alvinlândia,0,0,1,1,1,0,0,0,0,2,0,0,12
0,Americana,177,218,0,22,92,453,131,7,560,207,493,247,1.656
0,Américo Brasiliense,34,25,0,0,19,50,0,2,58,32,50,18,191
0,Américo de Campos,1,0,0,2,4,5,0,0,8,10,5,1,53
0,Amparo,79,24,14,12,21,129,9,13,176,231,364,34,677
0,Analândia,8,1,0,2,11,3,0,0,4,5,8,4,51
0,Andradina,51,68,18,39,68,178,25,4,203,91,272,12,824
0,Angatuba,28,21,1,6,19,28,3,0,48,15,30,5,217
0,Anhembi,5,3,0,0,1,5,0,0,8,8,5,2,43
0,Anhumas,0,1,0,2,2,2,0,0,2,10,12,1,33
0,Aparecida,55,49,9,14,20,115,9,0,160,100,215,32,570
0,Aparecida d'Oeste,2,1,0,2,2,3,0,0,3,7,3,0,51
