,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Adamantina,20,17,3,0,18,34,0,0,46,85,34,4,343
0,Adolfo,0,0,0,0,0,2,0,0,4,6,2,1,20
0,Aguaí,162,18,4,15,26,109,0,2,117,110,219,39,515
0,Águas da Prata,4,1,0,0,2,9,1,0,9,3,13,1,48
0,Águas de Lindóia,23,10,0,2,5,21,0,1,33,22,46,18,220
0,Águas de Santa Bárbara,4,0,0,0,0,1,0,0,1,6,7,0,53
0,Águas de São Pedro,3,0,0,2,0,3,0,0,3,2,5,1,22
0,Agudos,34,27,2,7,21,67,4,0,77,73,140,19,284
0,Alambari,2,1,0,0,0,8,0,1,8,2,8,3,40
0,Alfredo Marcondes,1,0,0,0,4,7,0,0,7,3,10,1,25
0,Altair,1,0,0,0,4,4,0,0,4,7,4,0,14
0,Altinópolis,10,14,1,2,7,30,3,1,40,8,35,6,218
0,Alto Alegre,1,1,0,1,2,3,1,0,4,2,5,1,27
0,Alumínio,10,7,0,1,1,24,7,0,28,10,38,10,111
0,Álvares Florence,0,1,0,5,3,5,0,0,6,1,5,1,58
0,Álvares Machado,33,7,2,6,9,19,2,5,26,24,44,11,189
0,Álvaro de Carvalho,2,4,34,0,1,8,1,0,9,14,10,0,68
0,Alvinlândia,0,2,3,0,0,4,1,0,6,7,6,0,21
0,Americana,224,288,0,25,68,483,189,1,581,189,428,329,1.753
0,Américo Brasiliense,48,14,0,0,13,45,0,0,47,31,45,4,230
0,Américo de Campos,4,0,0,0,2,1,0,0,1,4,1,1,25
0,Amparo,74,35,0,12,27,121,2,19,180,87,228,37,628
0,Analândia,7,1,0,1,1,2,0,0,2,5,7,4,31
0,Andradina,29,60,17,35,56,169,26,7,215,75,260,13,813
0,Angatuba,17,18,0,3,5,27,3,0,34,17,28,4,210
0,Anhembi,2,4,0,0,3,7,0,0,19,2,7,0,52
0,Anhumas,0,2,0,2,6,5,0,0,5,7,12,2,37
0,Aparecida,49,41,11,11,11,121,2,0,125,82,203,42,533
0,Aparecida d'Oeste,1,5,0,7,4,11,0,0,13,5,11,1,60
0,Apiaí,14,13,0,32,23,24,1,0,25,57,81,7,195
0,Araçariguama,17,19,0,8,14,55,5,0,60,7,67,39,132
0,Araçatuba,111,166,0,52,127,496,54,5,608,294,791,183,2.062
0,Araçoiaba da Serra,10,10,0,7,21,39,1,0,55,8,62,43,172
0,Aramina,5,0,0,3,3,6,0,0,7,6,6,4,52
0,Arandu,3,1,1,1,1,5,0,0,8,4,10,2,30
0,Arapeí,2,1,0,1,4,5,1,0,6,2,7,0,34
0,Araraquara,179,197,1,24,64,415,2,0,511,247,434,154,1.392
0,Araras,79,207,25,8,56,293,97,1,398,167,508,172,1.13
0,Arco-Íris,0,0,0,0,0,0,0,0,0,0,0,0,3
0,Arealva,3,1,1,0,2,5,0,0,5,13,17,8,55
0,Areias,3,1,0,0,0,4,0,0,5,0,4,0,20
0,Areiópolis,4,3,0,3,4,10,0,0,13,6,10,0,46
0,Ariranha,6,4,0,8,4,9,1,0,10,23,12,0,66
0,Artur Nogueira,80,34,0,10,14,91,12,1,119,29,121,92,352
0,Arujá,3,37,0,15,34,120,5,0,152,71,223,54,558
0,Aspásia,0,0,0,3,1,0,0,0,0,0,0,0,13
0,Assis,163,138,0,18,60,320,40,4,390,259,320,119,1.1
0,Atibaia,28,71,0,14,48,293,36,0,368,91,326,156,1.509
0,Auriflama,11,3,0,2,3,14,0,1,16,10,24,3,160
0,Avaí,6,5,1,5,7,8,0,1,9,6,14,1,35
0,Avanhandava,14,10,4,3,1,18,0,3,21,22,40,3,268
0,Avaré,143,83,41,13,56,222,14,6,268,176,416,25,977
0,Bady Bassitt,8,9,0,1,3,18,0,0,26,9,22,10,96
